run_id,steps,num_traders,seed,initial_price,final_price,price_return_pct,jump_rate,mean_rolling_vol,total_volume,mean_spread,execution_time_sec,random_return_pct,random_sharpe,random_maxdd_pct,random_fill_rate,momentum_return_pct,momentum_sharpe,momentum_maxdd_pct,momentum_fill_rate,meanrev_return_pct,meanrev_sharpe,meanrev_maxdd_pct,meanrev_fill_rate
001,500,30,42,100.0,152.42,52.42,0.012,0.004973,677,0.5555,0.017,1.283,0.08051,0.2718,48.6651,14.6681,0.159383,0.9931,54.9888,0.5772,0.03951,0.2629,105.7828
002,500,60,42,100.0,182.14,82.14,0.016,0.007139,2550,0.4761,0.035,1.7386,0.060265,0.7953,84.4759,23.8998,0.177965,1.2007,63.3122,0.8131,0.054997,0.4733,133.3362
003,500,10,42,100.0,110.28,10.28,0.014,0.006102,626,0.5011,0.006,1.3575,0.040674,0.5841,116.3083,0.9995,0.017163,2.0285,136.3963,0.5192,0.034718,0.3418,79.1501
004,500,30,42,100.0,138.7,38.7,0.006,0.003931,606,0.5637,0.014,1.0567,0.099289,0.2425,51.9528,5.6109,0.13107,0.5929,55.6971,0.6767,0.058327,0.2908,88.7302
005,500,30,42,100.0,103.5,3.5,0.04,0.009137,1861,0.481,0.018,0.4469,0.006302,0.9949,136.0695,-0.1322,-0.00453,1.2358,153.4782,0.4542,0.015339,0.5057,135.07
006,500,30,42,100.0,221.09,121.09,0.014,0.005539,1179,0.5842,0.02,3.8942,0.157603,0.365,59.0701,44.376,0.23654,1.5874,53.8911,1.6755,0.112235,0.2675,96.8224
007,1000,30,42,100.0,201.47,101.47,0.006,0.004269,1313,0.5178,0.034,2.0473,0.081281,0.286,48.8808,29.475,0.149518,1.2065,55.5357,0.6069,0.029321,0.2629,63.6716
008,200,30,42,100.0,124.06,24.06,0.03,0.007688,505,0.5645,0.007,1.0409,0.101253,0.2689,75.1669,5.8319,0.14056,0.9912,89.8203,0.5772,0.062563,0.2629,131.9661
009,1000,100,42,100.0,353.81,253.81,0.01,0.005439,5672,0.3344,0.119,2.3992,0.054107,0.8066,66.5856,79.1891,0.272191,1.0078,34.4647,0.1373,0.005148,0.9636,124.4622
010,500,30,123,100.0,143.93,43.93,0.004,0.004821,773,0.5987,0.017,1.1311,0.070054,0.3357,53.3457,12.5309,0.138396,1.2109,70.1702,0.3939,0.032972,0.2817,87.1219
011,500,50,999,100.0,169.75,69.75,0.008,0.006306,1768,0.3346,0.029,1.3367,0.054241,0.4881,76.4359,20.7584,0.185419,1.1928,48.8116,0.5087,0.028868,0.236,134.8852
012,1000,40,77,100.0,142.07,42.07,0.025,0.004349,2082,0.45,0.038,-2.3,-0.042988,6.8927,59.9456,6.3927,0.05126,3.6524,69.6664,2.0184,0.018347,6.929,135.4995
